sample,DGCCA_28,DGCCA_69
TCGA-3C-AAAU-01,0.02824971,0.0072205598
TCGA-3C-AALI-01,0.024288392,0.017862402
TCGA-3C-AALJ-01,0.01433428,-0.01596294
TCGA-3C-AALK-01,0.0059374673,0.011715137
TCGA-4H-AAAK-01,-0.016939454,0.12032676
TCGA-5L-AAT0-01,-0.010810029,-0.015920965
TCGA-5L-AAT1-01,0.046538137,0.018841945
TCGA-5T-A9QA-01,-0.07388516,-0.007848981
TCGA-A1-A0SB-01,-0.008151316,-0.0026832968
TCGA-A1-A0SD-01,0.05662457,0.009752464
TCGA-A1-A0SE-01,-0.03604995,0.0020679017
TCGA-A1-A0SF-01,-0.014864854,-0.0913106
TCGA-A1-A0SG-01,0.085371524,-0.011175557
TCGA-A1-A0SH-01,0.003434252,0.016648687
TCGA-A1-A0SI-01,0.021049352,-0.012821048
TCGA-A1-A0SJ-01,-0.020158038,-0.022851104
TCGA-A1-A0SK-01,0.10251328,-0.002528794
TCGA-A1-A0SM-01,0.0008981023,0.026554609
TCGA-A1-A0SN-01,0.06078787,0.031671707
TCGA-A1-A0SO-01,0.010004124,0.02209141
TCGA-A1-A0SP-01,0.059961453,-0.049496885
TCGA-A1-A0SQ-01,0.038827807,-0.0052711093
TCGA-A2-A04N-01,-0.024784187,0.014630927
TCGA-A2-A04P-01,0.006092201,-0.02778568
TCGA-A2-A04Q-01,0.014235176,0.02505629
TCGA-A2-A04R-01,-0.009008106,0.095891476
TCGA-A2-A04T-01,0.016252348,0.02585335
TCGA-A2-A04U-01,-0.038133238,0.005253706
TCGA-A2-A04V-01,0.018396333,0.025685212
TCGA-A2-A04W-01,0.045639016,0.003945697
TCGA-A2-A04X-01,0.0135590285,0.07759842
TCGA-A2-A04Y-01,-0.023878375,0.06435722
TCGA-A2-A0CK-01,-0.009783202,0.0013695811
TCGA-A2-A0CL-01,0.015683496,-0.02674574
TCGA-A2-A0CM-01,-0.040173657,0.002923934
TCGA-A2-A0CO-01,0.0012442674,0.010396473
TCGA-A2-A0CP-01,-0.0060383882,-0.012585366
TCGA-A2-A0CQ-01,-0.002285062,-0.019513898
TCGA-A2-A0CR-01,0.003060597,0.000833755
TCGA-A2-A0CS-01,-0.029683731,0.03398338
TCGA-A2-A0CT-01,-0.020647008,0.017420668
TCGA-A2-A0CU-01,-0.008167816,-0.030971432
TCGA-A2-A0CV-01,0.001651935,0.009392545
TCGA-A2-A0CW-01,-0.012090835,-0.008148903
TCGA-A2-A0CX-01,0.030129638,0.010741935
TCGA-A2-A0CY-01,0.048336953,-0.044237755
TCGA-A2-A0CZ-01,-0.05747293,-0.022687279
TCGA-A2-A0D0-01,-0.017963938,-0.0092097
TCGA-A2-A0D1-01,0.047399268,-0.03179932
TCGA-A2-A0D2-01,-0.031587146,-0.016827479
TCGA-A2-A0D3-01,0.00697671,-0.07091232
TCGA-A2-A0D4-01,0.023624051,-0.017955389
TCGA-A2-A0EM-01,-0.035017386,-0.055121407
TCGA-A2-A0EN-01,0.011083625,0.035037134
TCGA-A2-A0EO-01,0.014583065,0.005000135
TCGA-A2-A0EP-01,-0.011685111,0.0047141295
TCGA-A2-A0EQ-01,0.004426972,0.007812025
TCGA-A2-A0ER-01,-0.030878425,-0.0032096473
TCGA-A2-A0ES-01,0.036819085,-0.022650719
TCGA-A2-A0ET-01,-0.009512402,0.024425108
TCGA-A2-A0EU-01,-0.04432383,0.0027066714
TCGA-A2-A0EV-01,0.050535746,-0.048405774
TCGA-A2-A0EW-01,0.047712073,-0.023954105
TCGA-A2-A0EX-01,0.0126586985,-0.05232107
TCGA-A2-A0EY-01,-0.02940508,-0.038712695
TCGA-A2-A0ST-01,0.0043427404,-0.025412636
TCGA-A2-A0SU-01,0.035967108,-0.017481985
TCGA-A2-A0SV-01,-0.047210984,-0.017921655
TCGA-A2-A0SW-01,-0.017517777,-0.023625035
TCGA-A2-A0SX-01,0.024433678,0.029747233
TCGA-A2-A0SY-01,0.030235162,-0.002294181
TCGA-A2-A0T0-01,0.022382692,-0.056805152
TCGA-A2-A0T1-01,-0.00015089102,0.0026703663
TCGA-A2-A0T2-01,0.0001719934,0.00577695
TCGA-A2-A0T3-01,0.004673681,0.0291089
TCGA-A2-A0T4-01,-0.03631011,0.031473476
TCGA-A2-A0T5-01,0.006321203,-0.086745664
TCGA-A2-A0T6-01,0.012633153,0.023103595
TCGA-A2-A0T7-01,0.013383664,-0.02438572
TCGA-A2-A0YC-01,0.029621938,-0.01119676
TCGA-A2-A0YD-01,0.10979897,0.020997494
TCGA-A2-A0YE-01,-0.023353336,0.010163616
TCGA-A2-A0YF-01,-0.016203055,-0.043882668
TCGA-A2-A0YG-01,0.0003180175,0.004634791
TCGA-A2-A0YH-01,-0.026909387,0.031567678
TCGA-A2-A0YI-01,0.01979542,0.01166546
TCGA-A2-A0YJ-01,-0.045392122,0.058231074
TCGA-A2-A0YK-01,0.028703187,-0.00990663
TCGA-A2-A0YL-01,-0.034018338,-0.057140116
TCGA-A2-A0YM-01,-0.005433399,-0.02781901
TCGA-A2-A0YT-01,0.042608153,-0.009688662
TCGA-A2-A1FV-01,0.03408783,-0.011089923
TCGA-A2-A1FW-01,-0.042282335,0.0012436954
TCGA-A2-A1FX-01,0.03878593,-0.047055613
TCGA-A2-A1FZ-01,-0.04472919,0.06211469
TCGA-A2-A1G0-01,-0.0024764333,0.011099453
TCGA-A2-A1G1-01,0.021365974,-0.015497623
TCGA-A2-A1G4-01,-0.020031823,0.019295292
TCGA-A2-A1G6-01,0.023457296,0.035779838
TCGA-A2-A259-01,-0.019110901,0.02650256
TCGA-A2-A25A-01,0.0115517955,0.07273927
TCGA-A2-A25B-01,-0.015722523,-0.01696496
TCGA-A2-A25C-01,-0.01025398,0.0011696644
TCGA-A2-A25D-01,-0.015169299,-0.031782467
TCGA-A2-A25E-01,-0.03570748,-0.0108511
TCGA-A2-A25F-01,-0.01941251,0.0050926954
TCGA-A2-A3KC-01,0.018874649,-0.078181505
TCGA-A2-A3KD-01,-0.008703518,0.007866278
TCGA-A2-A3XS-01,0.018627798,0.02025873
TCGA-A2-A3XT-01,-0.0012088288,-0.048813075
TCGA-A2-A3XU-01,-0.014332229,0.13982858
TCGA-A2-A3XV-01,0.019183382,0.007814251
TCGA-A2-A3XW-01,-0.016843725,-0.021455722
TCGA-A2-A3XX-01,-0.039367273,0.009057854
TCGA-A2-A3XY-01,0.036657553,-0.06848748
TCGA-A2-A3XZ-01,-0.005790067,0.005554474
TCGA-A2-A3Y0-01,-0.088031314,-0.03951504
TCGA-A2-A4RW-01,0.0071940497,0.040784933
TCGA-A2-A4RX-01,-0.0027928099,-0.0020049894
TCGA-A2-A4RY-01,-0.046509884,-0.022472277
TCGA-A2-A4S0-01,-0.014969385,-0.029860131
TCGA-A2-A4S1-01,-0.007935397,0.018460251
TCGA-A2-A4S2-01,0.01167769,-0.058642723
TCGA-A2-A4S3-01,0.046597995,-0.023963753
TCGA-A7-A0CD-01,-0.02736738,-0.03629643
TCGA-A7-A0CE-01,0.023512654,0.028143575
TCGA-A7-A0CE-11,-0.009553894,0.0003726324
TCGA-A7-A0CG-01,-0.034142777,-0.029984858
TCGA-A7-A0CH-01,0.047076084,0.014979803
TCGA-A7-A0CH-11,0.045009796,-0.03246671
TCGA-A7-A0CJ-01,0.0064459834,-0.0092807645
TCGA-A7-A0D9-01,-0.05240177,0.0057308883
TCGA-A7-A0D9-11,0.0006204429,0.04430722
TCGA-A7-A0DA-01,-0.05673411,-0.012667102
TCGA-A7-A0DB-01,0.0049535017,0.029202702
TCGA-A7-A0DB-11,-0.0059774835,0.0016493001
TCGA-A7-A0DC-01,-0.011380358,-0.008948055
TCGA-A7-A0DC-11,0.07482609,0.0051414305
TCGA-A7-A13D-01,-0.022633897,-0.008835151
TCGA-A7-A13E-01,-0.011407055,0.0050431443
TCGA-A7-A13E-11,-0.023825819,0.04502682
TCGA-A7-A13F-01,0.01878211,0.038575634
TCGA-A7-A13F-11,0.08178609,-0.024090858
TCGA-A7-A13G-01,0.003413275,0.012985546
TCGA-A7-A13G-11,0.02984955,-0.029571176
TCGA-A7-A13H-01,0.08983786,0.04831798
TCGA-A7-A26E-01,-0.0127459075,0.006066739
TCGA-A7-A26F-01,-0.008816987,-0.043182857
TCGA-A7-A26G-01,-0.014899782,0.019346546
TCGA-A7-A26H-01,0.03451208,-0.000850691
TCGA-A7-A26I-01,-0.03416363,0.01990362
TCGA-A7-A26J-01,-0.02220976,0.034536544
TCGA-A7-A2KD-01,-0.03913831,-0.027861167
TCGA-A7-A3IY-01,0.045500346,0.0444222
TCGA-A7-A3IZ-01,0.009673813,-0.010607343
TCGA-A7-A3J0-01,-0.035517775,-0.049866177
TCGA-A7-A3J1-01,0.00019242521,0.016413588
TCGA-A7-A3RF-01,0.0111722,-0.010161081
TCGA-A7-A425-01,0.033775847,-0.026996082
TCGA-A7-A426-01,-0.00809314,-0.015674863
TCGA-A7-A4SA-01,0.042390965,0.011672366
TCGA-A7-A4SB-01,-0.009351523,0.025972065
TCGA-A7-A4SC-01,-0.010921986,-0.0074625704
TCGA-A7-A4SD-01,0.046117783,-0.036523398
TCGA-A7-A4SE-01,0.015027009,0.018805515
TCGA-A7-A4SF-01,-0.00844679,-0.0020931629
TCGA-A7-A56D-01,-0.10056735,-0.056858588
TCGA-A7-A5ZV-01,0.018097723,-0.19734232
TCGA-A7-A5ZW-01,-0.036033407,0.03643135
TCGA-A7-A5ZX-01,0.01317545,0.03506904
TCGA-A7-A6VV-01,-0.07257996,0.11290971
TCGA-A7-A6VW-01,-0.019913787,0.03128722
TCGA-A7-A6VX-01,-0.051711414,0.017130226
TCGA-A7-A6VY-01,0.0043639652,-0.038459837
TCGA-A8-A06O-01,0.018488899,0.037615288
TCGA-A8-A06P-01,0.035331216,0.00057543395
TCGA-A8-A06Q-01,0.025100823,0.020866213
TCGA-A8-A06R-01,-0.07967693,0.0047802594
TCGA-A8-A06T-01,-0.0036210646,0.043558016
TCGA-A8-A06U-01,-0.050761953,-0.025906192
TCGA-A8-A06X-01,0.008264579,0.010369803
TCGA-A8-A06Y-01,0.0196013,0.0015830956
TCGA-A8-A06Z-01,-0.06780853,0.007566235
TCGA-A8-A075-01,-0.028485093,-0.03972813
TCGA-A8-A076-01,0.0027077815,-0.033829972
TCGA-A8-A079-01,-0.026680864,0.041914184
TCGA-A8-A07B-01,-0.014377093,0.008375901
TCGA-A8-A07C-01,-0.0010325277,0.046822928
TCGA-A8-A07E-01,-0.0048050713,-0.023541622
TCGA-A8-A07F-01,0.054851167,-0.019856848
TCGA-A8-A07G-01,0.013633239,-0.0041763037
TCGA-A8-A07I-01,0.049337458,-0.00655008
TCGA-A8-A07J-01,0.009187694,0.026785655
TCGA-A8-A07L-01,0.010136988,0.0006233258
TCGA-A8-A07O-01,0.04509587,-0.022117235
TCGA-A8-A07P-01,0.042388976,-0.035276018
TCGA-A8-A07R-01,0.00910139,-0.027639303
TCGA-A8-A07S-01,0.017346269,0.026046026
TCGA-A8-A07U-01,-0.028963052,-0.0012369957
TCGA-A8-A07W-01,-0.046236206,-0.032846622
TCGA-A8-A07Z-01,0.0058674267,-0.021599509
TCGA-A8-A082-01,0.004130537,0.018298507
TCGA-A8-A084-01,0.028593166,0.03300717
TCGA-A8-A085-01,-0.0223189,-0.027315507
TCGA-A8-A086-01,-0.02161858,0.012140781
TCGA-A8-A08A-01,0.049154084,-0.052656263
TCGA-A8-A08B-01,0.07084807,0.018026456
TCGA-A8-A08C-01,-0.020064903,0.019192887
TCGA-A8-A08F-01,-0.010400172,-0.07059787
TCGA-A8-A08G-01,-0.021232082,-0.055067033
TCGA-A8-A08I-01,0.005158471,-0.026378013
TCGA-A8-A08J-01,-0.027086832,-0.0021114815
TCGA-A8-A08L-01,-0.13824314,-0.06096557
TCGA-A8-A08O-01,-0.020220483,0.0019979358
TCGA-A8-A08P-01,-0.0021282658,0.0069167595
TCGA-A8-A08R-01,-0.006212354,0.053393807
TCGA-A8-A08S-01,0.018739695,-0.014349772
TCGA-A8-A08T-01,-0.032742154,0.0058592786
TCGA-A8-A08X-01,-0.012279527,0.010180005
TCGA-A8-A08Z-01,-0.04404844,-0.027639734
TCGA-A8-A091-01,-0.08583452,-0.09244175
TCGA-A8-A092-01,0.036280006,0.05599135
TCGA-A8-A093-01,0.009752978,0.00064440706
TCGA-A8-A095-01,-0.017033255,0.009552331
TCGA-A8-A097-01,-0.01728001,0.0020277575
TCGA-A8-A099-01,0.01926791,0.0011763136
TCGA-A8-A09A-01,0.023795161,0.016916905
TCGA-A8-A09B-01,-0.03212065,0.049000423
TCGA-A8-A09C-01,-0.017250137,0.0007009432
TCGA-A8-A09D-01,0.062078662,-0.06763046
TCGA-A8-A09E-01,-0.014598063,-0.0111311115
TCGA-A8-A09I-01,0.00079910224,-0.09419481
TCGA-A8-A09K-01,-0.02123911,0.09416122
TCGA-A8-A09M-01,-0.02239829,0.006546233
TCGA-A8-A09N-01,-0.021941338,-0.016332619
TCGA-A8-A09Q-01,-0.020132644,-0.010761183
TCGA-A8-A09R-01,0.024009634,0.03245571
TCGA-A8-A09T-01,0.008580508,-0.011671837
TCGA-A8-A09V-01,-0.014205775,-0.07209632
TCGA-A8-A09W-01,0.001716468,0.024032723
TCGA-A8-A09X-01,-0.011657545,-0.030392064
TCGA-A8-A0A1-01,0.031367023,0.07731747
TCGA-A8-A0A2-01,-0.022096697,-0.0068332325
TCGA-A8-A0A4-01,-0.06884241,0.012232435
TCGA-A8-A0A6-01,-0.122266166,0.009846415
TCGA-A8-A0A7-01,0.024246864,0.018516127
TCGA-A8-A0A9-01,0.0056793764,0.028774282
TCGA-A8-A0AB-01,-0.019470548,-0.05484782
TCGA-A8-A0AD-01,-0.01878005,-0.0042720716
TCGA-AC-A23C-01,-0.040743366,-0.021395862
TCGA-AC-A23E-01,0.069249265,-0.008570328
TCGA-AC-A23G-01,-0.029752525,0.010172609
TCGA-AC-A23H-01,-0.01624424,-0.04928834
TCGA-AC-A23H-11,0.10152064,-0.03076977
TCGA-AC-A2B8-01,0.11299323,-0.070979506
TCGA-AC-A2BK-01,-0.012227258,0.04674882
TCGA-AC-A2BM-01,-0.07224107,-0.04066545
TCGA-AC-A2FB-01,-0.009506552,-0.002636009
TCGA-AC-A2FB-11,-0.01843877,-0.0038136374
TCGA-AC-A2FE-01,-0.02097714,-0.032199882
TCGA-AC-A2FF-01,-0.0018288323,-0.011774802
TCGA-AC-A2FF-11,-0.03180138,0.028663876
TCGA-AC-A2FG-01,-0.022915903,-0.01461009
TCGA-AC-A2FG-11,0.021902977,-0.01807044
TCGA-AC-A2FK-01,0.061093442,-0.011874033
TCGA-AC-A2FM-01,-0.008556527,-0.054466993
TCGA-AC-A2FM-11,-0.0662452,-0.01461793
TCGA-AC-A2FO-01,0.0013842515,0.016719962
TCGA-AC-A2QH-01,0.017557308,-0.14707308
TCGA-AC-A2QI-01,0.04439459,0.0223417
TCGA-AC-A2QJ-01,0.0002755504,-0.02892169
TCGA-AC-A3BB-01,0.032369003,-0.0036845612
TCGA-AC-A3EH-01,-0.042133603,-0.107946716
TCGA-AC-A3HN-01,0.035292104,0.0021039639
TCGA-AC-A3OD-01,-0.052522294,-0.036434
TCGA-AC-A3QP-01,0.008888643,0.017865408
TCGA-AC-A3QQ-01,-0.057292894,-0.05314502
TCGA-AC-A3TM-01,-0.04489549,0.0052090012
TCGA-AC-A3TN-01,-0.0013472326,0.0069316365
TCGA-AC-A3W5-01,0.12879996,-0.053735044
TCGA-AC-A3W6-01,-0.00822551,-0.00745866
TCGA-AC-A3W7-01,-0.026196958,-0.012048179
TCGA-AC-A3YI-01,0.05832322,0.027088903
TCGA-AC-A3YJ-01,-0.0019271569,0.0018824734
TCGA-AC-A4ZE-01,0.0087997,-0.02759533
TCGA-AC-A5EH-01,0.07827889,0.009788526
TCGA-AC-A5EI-01,0.026222447,0.02068134
TCGA-AC-A5XS-01,0.0018462779,0.07536597
TCGA-AC-A5XU-01,0.037974343,-0.0026364424
TCGA-AC-A62V-01,0.031660553,0.0039048623
TCGA-AC-A62X-01,-0.016160466,0.06296827
TCGA-AC-A62Y-01,0.0014075123,0.11598288
TCGA-AC-A6IV-01,0.010709737,-0.008368678
TCGA-AC-A6IW-01,0.033905864,0.089096166
TCGA-AC-A6IX-01,0.006850444,-0.0028778152
TCGA-AC-A6IX-06,-0.043761604,0.096059695
TCGA-AC-A6NO-01,0.0036102887,-0.0023886096
TCGA-AC-A7VB-01,-0.018823367,-3.7718564e-06
TCGA-AC-A7VC-01,-0.02895128,0.014226476
TCGA-AC-A8OP-01,-6.8666413e-06,-0.031170215
TCGA-AC-A8OQ-01,0.01684017,-0.00875935
TCGA-AC-A8OR-01,0.02224341,0.01379401
TCGA-AC-A8OS-01,0.07104244,-0.08907133
TCGA-AN-A03X-01,-0.01490299,0.0069226897
TCGA-AN-A03Y-01,-0.005678448,0.012582476
TCGA-AN-A041-01,-0.01276863,0.024675451
TCGA-AN-A046-01,0.019213557,0.009124323
TCGA-AN-A049-01,-0.040875524,-0.053110123
TCGA-AN-A04A-01,0.0009083422,-0.02432788
TCGA-AN-A04C-01,-0.0021234858,-0.022247957
TCGA-AN-A04D-01,-0.23740558,-0.052564792
TCGA-AN-A0AJ-01,-0.038404047,-0.010975633
TCGA-AN-A0AK-01,-0.08517719,0.025290947
TCGA-AN-A0AL-01,-0.01983858,0.116185084
TCGA-AN-A0AM-01,0.014215494,0.032201238
TCGA-AN-A0AR-01,-0.013118722,-0.013410456
TCGA-AN-A0AS-01,0.006199974,0.019502014
TCGA-AN-A0AT-01,-0.003923971,-0.04245054
TCGA-AN-A0FD-01,0.014925481,0.04374571
TCGA-AN-A0FF-01,-0.060696628,-0.00544938
TCGA-AN-A0FJ-01,0.033225797,0.010003449
TCGA-AN-A0FK-01,0.042676426,-0.008436866
TCGA-AN-A0FL-01,0.11103311,-0.0024399073
TCGA-AN-A0FN-01,0.047981646,0.0009784475
TCGA-AN-A0FS-01,0.039332636,0.043854516
TCGA-AN-A0FT-01,0.023275945,0.055548295
TCGA-AN-A0FV-01,0.0032596597,-0.0029693963
TCGA-AN-A0FW-01,-0.034103226,-0.014047952
TCGA-AN-A0FX-01,-0.022583863,-0.00041063718
TCGA-AN-A0FY-01,0.022980511,0.021262119
TCGA-AN-A0FZ-01,0.028122688,0.004865857
TCGA-AN-A0G0-01,-0.037913047,0.007178656
TCGA-AN-A0XL-01,-0.06393561,0.018644437
TCGA-AN-A0XN-01,-0.023866966,0.022314359
TCGA-AN-A0XO-01,0.07670892,-0.07700302
TCGA-AN-A0XP-01,-0.034505185,0.02345066
TCGA-AN-A0XR-01,0.008515054,-0.02652014
TCGA-AN-A0XS-01,0.0636704,-0.03315585
TCGA-AN-A0XT-01,0.016762208,-0.002147948
TCGA-AN-A0XU-01,-0.011508164,0.039369375
TCGA-AN-A0XV-01,0.061203934,0.020520687
TCGA-AN-A0XW-01,-0.01089568,-0.067864925
TCGA-AO-A03L-01,-0.04227535,-0.009282539
TCGA-AO-A03M-01,-0.019069877,-0.05262218
TCGA-AO-A03N-01,-0.0015174672,0.05379159
TCGA-AO-A03O-01,-0.015527346,0.0008373383
TCGA-AO-A03P-01,0.010295125,-0.10241659
TCGA-AO-A03R-01,0.011762557,0.025127897
TCGA-AO-A03T-01,-0.04297058,0.010458169
TCGA-AO-A03U-01,0.034887455,0.00040961074
TCGA-AO-A03V-01,0.0017189905,-0.039993636
TCGA-AO-A0J2-01,0.012181675,-0.0036280435
TCGA-AO-A0J3-01,0.016753241,-0.06573815
TCGA-AO-A0J4-01,0.011003811,0.004037433
TCGA-AO-A0J5-01,-0.027082331,0.030375674
TCGA-AO-A0J6-01,0.005608316,0.03274017
TCGA-AO-A0J7-01,-0.027096596,-0.0012815557
TCGA-AO-A0J8-01,0.02663424,-0.004212384
TCGA-AO-A0J9-01,0.028549058,0.06285952
TCGA-AO-A0JA-01,0.009741792,0.042938206
TCGA-AO-A0JB-01,-0.0054200906,0.00017061736
TCGA-AO-A0JC-01,0.011239289,0.031020463
TCGA-AO-A0JD-01,-0.00038481381,-0.0008402693
TCGA-AO-A0JE-01,-0.012399366,-0.042027567
TCGA-AO-A0JF-01,-0.022359652,-0.053080577
TCGA-AO-A0JG-01,-0.0029840972,-0.003924108
TCGA-AO-A0JI-01,0.024604106,-0.032505028
TCGA-AO-A0JJ-01,-0.024691409,0.07134123
TCGA-AO-A0JL-01,0.021105826,0.013780944
TCGA-AO-A0JM-01,-0.025274761,-0.008276942
TCGA-AO-A124-01,0.0053326027,0.030217724
TCGA-AO-A125-01,0.012562275,-0.019328738
TCGA-AO-A126-01,0.05706211,0.0009884252
TCGA-AO-A128-01,0.051072158,-0.027894223
TCGA-AO-A129-01,0.038691666,-0.01893768
TCGA-AO-A12A-01,0.0005170407,-0.029023077
TCGA-AO-A12B-01,-0.0048285862,0.014975147
TCGA-AO-A12C-01,-0.0019434345,0.026895626
TCGA-AO-A12D-01,-0.002304144,0.037821352
TCGA-AO-A12E-01,0.030682722,-0.006413876
TCGA-AO-A12F-01,-0.0017134817,0.004559334
TCGA-AO-A12G-01,-0.008952333,0.01384208
TCGA-AO-A12H-01,0.013689414,0.03218367
TCGA-AO-A1KO-01,0.030498968,-0.04701306
TCGA-AO-A1KP-01,0.015724126,-0.027334973
TCGA-AO-A1KQ-01,0.010921521,0.006121071
TCGA-AO-A1KR-01,0.03115424,-0.010223474
TCGA-AO-A1KS-01,0.019129056,-0.0022225382
TCGA-AO-A1KT-01,-0.14886071,0.0072883433
TCGA-AQ-A04H-01,0.055688456,-0.0061192373
TCGA-AQ-A04J-01,0.01067358,0.04312182
TCGA-AQ-A04L-01,0.035679832,-0.022688285
TCGA-AQ-A0Y5-01,0.07675006,-0.07893694
TCGA-AQ-A1H2-01,0.0081076585,0.044100706
TCGA-AQ-A1H3-01,0.011339926,0.102028355
TCGA-AQ-A54N-01,0.001353912,0.016939815
TCGA-AQ-A54O-01,-0.10723966,-0.072358534
TCGA-AQ-A7U7-01,-0.081036925,-0.011026948
TCGA-AR-A0TP-01,0.04540199,-0.03441023
TCGA-AR-A0TQ-01,-0.021948893,-0.03860695
TCGA-AR-A0TR-01,-0.022165319,-0.061458543
TCGA-AR-A0TS-01,-0.03083616,-0.005676122
TCGA-AR-A0TT-01,0.027811626,-0.003320342
TCGA-AR-A0TU-01,0.0008117892,0.036800697
TCGA-AR-A0TV-01,0.030082157,0.013171261
